book,price,amount,oid,side,amount_minor,amount_major
usd_mxn,23.789,20.88639984,2eo2UhkJKLm3NpTv,ask,496.86656579376,20.88639984
usd_mxn,23.754,20.88639984,pWcHvIF8sdKDfR7t,ask,496.13554179936,20.88639984
usd_mxn,23.72,8.45,MQYYjDjMNwIM3xk0,ask,200.43399999999997,8.45
usd_mxn,23.718,20.88639984,VLTobD1jroJMruyO,ask,495.38363140511996,20.88639984
usd_mxn,23.682,20.88639984,ZVs294n0yXPtTyhE,ask,494.63172101087997,20.88639984
usd_mxn,23.65,80.0,daL1zKYNMjCigz0H,ask,1892.0,80.0
usd_mxn,23.648,20.88639984,ilmgHfgS38xM0nQZ,ask,493.92158341632,20.88639984
usd_mxn,23.612,20.88639984,2B5n9f9coWHWlCXR,ask,493.16967302207996,20.88639984
usd_mxn,23.6,25.0,h6egQzO0zUhI6miQ,ask,590.0,25.0
usd_mxn,23.59,3.5,DI0KI72MuKFvoHpv,ask,82.565,3.5
usd_mxn,23.577,20.88639984,al5Oxy3Lw5IDJlgI,ask,492.43864902768,20.88639984
usd_mxn,23.57,247.88,GFNgmxtA4mvpEzFR,ask,5842.5316,247.88
usd_mxn,23.551,1.7,0jYN2Z0DmcTGZwhM,ask,40.036699999999996,1.7
usd_mxn,23.542,20.88639984,jVghCkPEx0homfcr,ask,491.70762503328,20.88639984
usd_mxn,23.529,42.61,qomrnMLDMwrlpmqX,ask,1002.57069,42.61
usd_mxn,23.507,20.88639984,zDKblHoZ7jK3FPsB,ask,490.97660103888,20.88639984
usd_mxn,23.5,150.0,NjYzjjYNz0ID5jME,ask,3525.0,150.0
usd_mxn,23.5,20.0,TUmmZYZ0zNOzjNxF,ask,470.0,20.0
usd_mxn,23.5,200.9,6yZ2BlGY6KOkAVf3,ask,4721.150000000001,200.9
usd_mxn,23.5,21.27,T8hXCDVCHZyUEiKS,ask,499.84499999999997,21.27
usd_mxn,23.5,236.98,I560893kFsf1Tm6o,ask,5569.03,236.98
usd_mxn,23.5,10.0,XnEANG8HRhBeMV5z,ask,235.0,10.0
usd_mxn,23.5,20.0,xlGqSCwEG0LPMrX2,ask,470.0,20.0
usd_mxn,23.5,10.0,8MmUbqklEM9Og2n6,ask,235.0,10.0
usd_mxn,23.5,100.0,Nj1Sz4zwcI1CiSlV,ask,2350.0,100.0
usd_mxn,23.5,1000.0,lKRF6SyxAiv6VtbO,ask,23500.0,1000.0
usd_mxn,23.5,3278.29,Mdb33aDAQuImNasj,ask,77039.815,3278.29
usd_mxn,23.5,16810.06,zjd7LDED72zFMEJo,ask,395036.41000000003,16810.06
usd_mxn,23.5,3229.12,2BDq1raYVC4jKfNj,ask,75884.31999999999,3229.12
usd_mxn,23.471,20.88639984,8JCwbV5tGIKyx0YB,ask,490.22469064463996,20.88639984
usd_mxn,23.437,20.88639984,7LnwItJXaRNXmVcu,ask,489.51455305008,20.88639984
usd_mxn,23.401,20.88639984,wYRbK2ktjeMcOPjm,ask,488.76264265583995,20.88639984
usd_mxn,23.394,2137.38,kdIb836hgENrSZkW,ask,50001.86772,2137.38
usd_mxn,23.366,20.88639984,4ZePEAPJW4yFeM51,ask,488.03161866143995,20.88639984
usd_mxn,23.36,351.61,0DNMDTMYZINNzgUF,ask,8213.6096,351.61
usd_mxn,23.34,0.94,Ezc2qDeobivZ4j4w,ask,21.9396,0.94
usd_mxn,23.338,39.52,BdyKqMZXtJgtagW3,ask,922.3177600000001,39.52
usd_mxn,23.33,20.88639984,2Q7TPkcfFHSlxKbD,ask,487.27970826719996,20.88639984
usd_mxn,23.296,20.88639984,4ilNJsKdLZQBaKKd,ask,486.56957067264,20.88639984
usd_mxn,23.29,65.58,udKZgPxR0vrX1yqs,ask,1527.3582,65.58
usd_mxn,23.26,20.88639984,HBPbVuyPpQFmskX3,ask,485.8176602784,20.88639984
usd_mxn,23.225,20.88639984,6M4e1Gpc3uNsqXuH,ask,485.086636284,20.88639984
usd_mxn,23.19,20.88639984,YoDWTPtdH62mYvD0,ask,484.3556122896,20.88639984
usd_mxn,23.155,20.88639984,bzh4ctrS6udw3zlA,ask,483.6245882952,20.88639984
usd_mxn,23.15,2.60989492,ZONEkm3jTGDN5Gwk,ask,60.419067397999996,2.60989492
usd_mxn,23.15,2.66,mzgMcwxGTjz2Zw2M,ask,61.579,2.66
usd_mxn,23.15,90.0,qcYdYmaUbU2omYOI,ask,2083.5,90.0
usd_mxn,23.131,50.0,kaiyOh2KwyjNIA7n,ask,1156.55,50.0
usd_mxn,23.119,20.88639984,gvbcZytaf5tdnZH0,ask,482.87267790095996,20.88639984
usd_mxn,23.1,150.0,LyiialSNLqmYFcCL,ask,3465.0,150.0
usd_mxn,23.1,500.0,53pid4lJ39fLsK3H,ask,11550.0,500.0
usd_mxn,23.096,23.37229047,ZMKEgrPPmOZRG2lM,ask,539.80642069512,23.37229047
usd_mxn,23.084,20.88639984,bBZpMS3Ip1a1c7ZC,ask,482.14165390655995,20.88639984
usd_mxn,23.049,20.88639984,PB9mkpLtCyegKFek,ask,481.41062991215995,20.88639984
usd_mxn,23.037,0.5,Xgyg6xWH5aQKjWKV,ask,11.5185,0.5
usd_mxn,23.013,20.88639984,YtIlogyb9lhDk2E1,ask,480.65871951792,20.88639984
usd_mxn,23.0,21.73,WyxkDkrW9sCDPQH3,ask,499.79,21.73
usd_mxn,23.0,20.0,AzjxjaiqpFX1Z7ir,ask,460.0,20.0
usd_mxn,23.0,186.59,SHon6GscWKsUR4NT,ask,4291.57,186.59
usd_mxn,23.0,375.32,QKH3CMJQ2nIb3AXB,ask,8632.36,375.32
usd_mxn,23.0,1.0,EQ2DmnqgWGtJFlxu,ask,23.0,1.0
usd_mxn,23.0,67.41,E2MYkd0ZuZr3Ixho,ask,1550.4299999999998,67.41
usd_mxn,23.0,300.0,b9A5fB9FTk7Fl2hU,ask,6900.0,300.0
usd_mxn,23.0,483.66,bjI56HpitVfHG9Ki,ask,11124.18,483.66
usd_mxn,23.0,5.39,ll1dDStLbAYw2ZNK,ask,123.97,5.39
usd_mxn,23.0,250.0,xfISYuCbIIVNSNhs,ask,5750.0,250.0
usd_mxn,23.0,11.99,DKSSn9Fze4NUm8PG,ask,275.77,11.99
usd_mxn,23.0,12.0,uOsMlnA33ZRWD3Nn,ask,276.0,12.0
usd_mxn,23.0,92.38,9SEciERJWVTLQibj,ask,2124.74,92.38
usd_mxn,23.0,1.74,WE5DEwIJTClzP93u,ask,40.02,1.74
usd_mxn,23.0,0.75,TT0NaaV6r0X9WB9V,ask,17.25,0.75
usd_mxn,23.0,8.93,O2EXfAVjVOTaOXVL,ask,205.39,8.93
usd_mxn,23.0,248.18,GnmiEbvrvOV5cBas,ask,5708.14,248.18
usd_mxn,23.0,5.69,jI8rsO7GedrxYmrG,ask,130.87,5.69
usd_mxn,23.0,1167.8,7ZZJGSbn8KTQMhYV,ask,26859.399999999998,1167.8
usd_mxn,23.0,22.0,RqbBN0GNq0YzVgoC,ask,506.0,22.0
usd_mxn,23.0,9.98,VY9s5kDsFhjFtr9F,ask,229.54000000000002,9.98
usd_mxn,23.0,236.98,criMzSbMCL0Ir4ec,ask,5450.54,236.98
usd_mxn,23.0,19.1,AMZkXpBrXLfB6kxr,ask,439.3,19.1
usd_mxn,23.0,4.02,Gsox187zvUb7PEn1,ask,92.46,4.02
usd_mxn,23.0,20.0,Zf3iAb9j7NjSu6bf,ask,460.0,20.0
usd_mxn,23.0,138.78,xugaftcwHIgjQZr4,ask,3191.94,138.78
usd_mxn,23.0,302.0,8t9TBTKW4nbkTBac,ask,6946.0,302.0
usd_mxn,23.0,11.12,0zUlgYb5qhhGAyuq,ask,255.76,11.12
usd_mxn,23.0,730.0,q3EloFMFopZvT7a8,ask,16790.0,730.0
usd_mxn,23.0,211.49,sInmTDLSZQ91Cjk9,ask,4864.27,211.49
usd_mxn,23.0,43.47,pxJNpBjfbwIDcizh,ask,999.81,43.47
usd_mxn,23.0,25.0,21PI1RydX7nTIS9U,ask,575.0,25.0
usd_mxn,23.0,200.0,DcqxowIeB37O47Pz,ask,4600.0,200.0
usd_mxn,23.0,18.2,IJmVMUUd4Owq80LT,ask,418.59999999999997,18.2
usd_mxn,23.0,279.84,fZzzKiwV0R4qvZn9,ask,6436.32,279.84
usd_mxn,23.0,6500.0,CoJ6Hx0xYfd2YT7M,ask,149500.0,6500.0
usd_mxn,23.0,10.0,EdC9ggzHRQyR8DoB,ask,230.0,10.0
usd_mxn,23.0,1.0,mUubdZRIPbHFUXsI,ask,23.0,1.0
usd_mxn,23.0,400.0,W4TXVmhbez1BIGJQ,ask,9200.0,400.0
usd_mxn,23.0,106.9,o6RpszsCJFRH6Dd9,ask,2458.7000000000003,106.9
usd_mxn,23.0,1.0,uNYDBQGzvDhDKBzk,ask,23.0,1.0
usd_mxn,23.0,50.0,GUXTHTkFb08fqJO1,ask,1150.0,50.0
usd_mxn,23.0,50.0,p93groW4g4eLwZ1C,ask,1150.0,50.0
usd_mxn,23.0,9.31,mZGkMov8UPF7DKLX,ask,214.13000000000002,9.31
usd_mxn,22.99,10.0,TL8xp29fGm9VNmR4,ask,229.89999999999998,10.0
usd_mxn,22.99,0.51,qsm3HTSK94PrAILC,ask,11.7249,0.51
usd_mxn,22.99,42.52,JauppnMJ5Tlxblb3,ask,977.5348,42.52
usd_mxn,22.983,5.0,Aq0KjKyCfV6CSF9H,ask,114.915,5.0
usd_mxn,22.98,20.0,lByFoi4uQSsESH34,ask,459.6,20.0
usd_mxn,22.978,20.88639984,uwXQQyyARKP4RnrT,ask,479.92769552352,20.88639984
usd_mxn,22.977,15.0,PY3Ic6pnbFhWBQpb,ask,344.65500000000003,15.0
usd_mxn,22.95,10.0,Z8ccWckOH3O33zF9,ask,229.5,10.0
usd_mxn,22.943,20.88639984,lznSPc9IFT26o9WF,ask,479.19667152912,20.88639984
usd_mxn,22.908,20.88639984,qLyflhaajJP3mPxS,ask,478.46564753472,20.88639984
usd_mxn,22.9,500.0,WiXBwrf4yVD76oQU,ask,11450.0,500.0
usd_mxn,22.9,5.35,NnBVicDOKHDFWBgM,ask,122.51499999999999,5.35
usd_mxn,22.9,10.0,weyt7pxhiQcAn8Gv,ask,229.0,10.0
usd_mxn,22.9,5.0,dWGUZ1kbsOfhx55B,ask,114.5,5.0
usd_mxn,22.9,19.3,YsisP7TsfiPNEZhz,ask,441.96999999999997,19.3
usd_mxn,22.89,21.84,GIBVnMRUNsVZ1WUD,ask,499.9176,21.84
usd_mxn,22.889,3105.34045822,a3juCIlREZaY0gnh,ask,71078.13774819758,3105.34045822
